Cycle	Avg bright	Stdev bright	Avg dark	Stdev dark	Avg dark-corrected intensity	Error dark-corrected
0	3400.9829545454545	69.70614248659561	1610.664015151515	13.772708265605115	1790.3189393939394	71.05373877095445
1	2892.9602272727275	70.54218280216314	1611.5556818181817	13.61299255130152	1281.4045454545458	71.84367140323211
2	2564.2060606060604	52.33526790128582	1610.951893939394	12.763390035600743	953.2541666666664	53.86914136590846
3	2327.8636363636365	43.48173993746088	1608.95	12.105336288871396	718.9136363636364	45.1353616874358
4	2141.3401515151513	38.28224796257336	1608.9761363636364	11.96696045986915	532.3640151515149	40.10908440386072
5	1988.4628787878787	32.88258705008655	1605.1155303030303	11.886613352486316	383.34734848484845	34.965069828301864
6	1864.2136363636364	28.125244167902473	1604.1666666666667	11.552263759964884	260.04696969696965	30.40533107012535
7	1792.8867424242424	23.53880690046314	1603.646590909091	11.296440665600494	189.2401515151514	26.109098069614042
8	1726.6469696969698	21.077193761928307	1601.2681818181818	11.646694928382942	125.37878787878799	24.08098003887488
9	1685.4068181818182	18.142231383515167	1602.0295454545455	11.291953682831267	83.37727272727261	21.36934200082467
